abaisse abaisse	    Adj:Mas+SG
stabilimetre    stabilimetre Nom:Mas+SG
stabilisaient stabiliser Ver:IImp+PL+P3
stabilisais	    stabiliser  Ver:IImp+SG+P1:IImp+SG+P2
stabilisai stabiliser Ver:IPSim+SG+P1
stabilisait	stabiliser Ver:IImp+SG+P3
stabilisames stabiliser	    Ver:IPSim+PL+P1
stabilisant	    stabilisant	Adj:Mas+SG
stabilisant	stabilisant	    Nom:Mas+SG
stabilisant	stabiliser Ver:PPre
stabilisassent  stabiliser Ver:SImp+PL+P3
a	a	Nom:Mas+InvPL
a	a	Pre
a	avoir	Ver:IPre+SG+P3
abaca	abaca	Nom:Mas+SG
abacule	abacule	Nom:Mas+SG
abaissa	abaisser	Ver:IPSim+SG+P3
abaissable	abaissable	Adj:InvGen+SG
abaissai	abaisser	Ver:IPSim+SG+P1
abaissaient	abaisser	Ver:IImp+PL+P3
abaissais	abaisser	Ver:IImp+SG+P1:IImp+SG+P2
abaissait	abaisser	Ver:IImp+SG+P3
abaissames	abaisser	Ver:IPSim+PL+P1
abaissant	abaissant	Adj:Mas+SG
abaissant	abaisser	Ver:PPre
abaissante	abaissant	Adj:Fem+SG
abaissantes	abaissant	Adj:Fem+PL
abaissas	abaisser	Ver:IPSim+SG+P2
abaissasse	abaisser	Ver:SImp+SG+P1
abaissassent	abaisser	Ver:SImp+PL+P3
abaissasses	abaisser	Ver:SImp+SG+P2
abaissassiez	abaisser	Ver:SImp+PL+P2
boutons-d'argent	bouton-d'argent	Nom:Mas+PL
boutons-d'or	bouton-d'or	Nom:Mas+PL
boutons-poussoir	bouton-poussoir	Nom:Mas+PL
boutons-pression	bouton-pression	Nom:Mas+PL
bouton-d'argent	bouton-d'argent	Nom:Mas+SG
bouton-d'or	bouton-d'or	Nom:Mas+SG
abaissassions	abaisser	Ver:SImp+PL+P1
abaissat	abaisser	Ver:SImp+SG+P3
abaissates	abaisser	Ver:IPSim+PL+P2
abaisse	abaisse	Nom:Fem+SG
abaisse	abaisser	Ver:IPre+SG+P1:IPre+SG+P3:SPre+SG+P1:SPre+SG+P3:ImPre+SG+P2
abaisse	abaisser	Ver:PPas+Mas+SG
abaissee	abaisse	Adj:Fem+SG
abaissee	abaissee	Nom:Fem+SG
abaissee	abaisser	Ver:PPas+Fem+SG
abaissees	abaisse	Adj:Fem+PL
abaissees	abaissee	Nom:Fem+PL
abaissees	abaisser	Ver:PPas+Fem+PL
abaissement	abaissement	Nom:Mas+SG
abaissements	abaissement	Nom:Mas+PL
abaissent	abaisser	Ver:IPre+PL+P3:SPre+PL+P3
abaissera	abaisser	Ver:IFut+SG+P3
abaisser	abaisser	Ver:Inf
abaisserai	abaisser	Ver:IFut+SG+P1
abaisseraient	abaisser	Ver:CPre+PL+P3
abaisserais	abaisser	Ver:CPre+SG+P1:CPre+SG+P2
abaisserait	abaisser	Ver:CPre+SG+P3
abaisseras	abaisser	Ver:IFut+SG+P2
abaisserent	abaisser	Ver:IPSim+PL+P3
abaisserez	abaisser	Ver:IFut+PL+P2
abaisseriez	abaisser	Ver:CPre+PL+P2
abaisserions	abaisser	Ver:CPre+PL+P1
abaisserons	abaisser	Ver:IFut+PL+P1
abaisseront	abaisser	Ver:IFut+PL+P3
abaisses	abaisse	Adj:Mas+PL
abaisses	abaisse	Nom:Fem+PL
abaisses	abaisser	Ver:IPre+SG+P2:SPre+SG+P2
abaisses	abaisser	Ver:PPas+Mas+PL
abaisseur	abaisseur	Adj:Mas+SG
abaisseur	abaisseur	Nom:Mas+SG
abaissez	abaisser	Ver:IPre+PL+P2:ImPre+PL+P2
abaisse-langue	abaisse-langue	Nom:Mas+InvPL
abaissiez	abaisser	Ver:IImp+PL+P2:SPre+PL+P2
abaissions	abaisser	Ver:IImp+PL+P1:SPre+PL+P1
abaissons	abaisser	Ver:IPre+PL+P1:ImPre+PL+P1
abajoue	abajoue	Nom:Fem+SG
abandon	abandon	Nom:Mas+SG
abandonna	abandonner	Ver:IPSim+SG+P3
abandonnai	abandonner	Ver:IPSim+SG+P1
abandonnaient	abandonner	Ver:IImp+PL+P3
abandonnais	abandonner	Ver:IImp+SG+P1:IImp+SG+P2
abandonnait	abandonner	Ver:IImp+SG+P3
abandonnames	abandonner	Ver:IPSim+PL+P1
abandonnant	abandonner	Ver:PPre
abandonnant	abandonner	Ver:PPre+Mas+SG
abandonnas	abandonner	Ver:IPSim+SG+P2
abandonnasse	abandonner	Ver:SImp+SG+P1
abandonnassent	abandonner	Ver:SImp+PL+P3
abandonnasses	abandonner	Ver:SImp+SG+P2
abandonnassiez	abandonner	Ver:SImp+PL+P2
abandonnassions	abandonner	Ver:SImp+PL+P1
abandonnat	abandonner	Ver:SImp+SG+P3
abandonnataire	abandonnataire	Nom:InvGen+SG
abandonnates	abandonner	Ver:IPSim+PL+P2
abandonne	abandonne	Adj:Mas+SG
abandonne	abandonne	Nom:Mas+SG
abandonne	abandonner	Ver:IPre+SG+P1:IPre+SG+P3:SPre+SG+P1:SPre+SG+P3:ImPre+SG+P2
abandonne	abandonner	Ver:PPas+Mas+SG
abandonnee	abandonne	Adj:Fem+SG
abandonnee	abandonne	Nom:Fem+SG
abandonnee	abandonner	Ver:PPas+Fem+SG
abandonnees	abandonne	Adj:Fem+PL
abandonnees	abandonne	Nom:Fem+PL
abandonnees	abandonner	Ver:PPas+Fem+PL
abandonnent	abandonner	Ver:IPre+PL+P3:SPre+PL+P3
abandonnera	abandonner	Ver:IFut+SG+P3
abandonner	abandonner	Ver:Inf
abandonnerai	abandonner	Ver:IFut+SG+P1
abandonneraient	abandonner	Ver:CPre+PL+P3
abandonnerais	abandonner	Ver:CPre+SG+P1:CPre+SG+P2
abandonnerait	abandonner	Ver:CPre+SG+P3
abandonneras	abandonner	Ver:IFut+SG+P2
abandonnerent	abandonner	Ver:IPSim+PL+P3
